,price,priceEpsCurrentYear,priceToBook,EV/EBITDA,PB,PS,EV,EV/GP,epsForward,trailingPE
MMM,126.6,12.423945,4.9699683,8.71,5.08,2.14,84510000000,5.097104946025157,,
AOS,60.03,19.49026,5.247378,,,,,,,
ABT,113.39,21.722223,5.5417624,15.5,5.55,4.47,204420000000,8.173530587764894,,
ABBV,152.83,11.04263,16.898497,13.01,16.98,4.72,329370000000,8.471450617283951,,
ACN,284.88,24.836966,7.8049316,16.97,7.73,2.9,175070000000,8.886802030456852,,
ATVI,74.56,24.445902,3.1022716,22.55,3.19,8.2,52920000000,8.154083204930663,,
ADM,88.09,11.698539,2.0153282,8.94,2.02,0.51,57200000000,9.549248747913188,,
ADBE,344.38,22.479113,11.396896,22.74,11.39,9.21,158640000000,10.27461139896373,,
ADP,236.78,29.160099,38.15955,22.88,39.5,6.28,104080000000,13.970469798657717,,
AAP,149.21,11.804589,3.253882,13.08,3.29,0.84,12380000000,2.5111561866125762,,
AES,27.6,16.82927,7.170694,30.14,7.24,1.52,39430000000,14.549815498154981,,
AFL,72.44,13.824429,1.871206,,1.88,2.27,48110000000,5.286813186813187,,
A,155.4,27.504423,8.64919,25.29,8.76,6.87,48180000000,12.951612903225806,,
APD,306.38,26.922672,5.1709704,17.57,5.26,5.46,74150000000,22.06845238095238,,
AKAM,88.88,16.865274,3.3148098,12.64,3.29,4.01,16239999999,7.41552511369863,,
ALK,50.3,11.563218,1.6674954,12.3,1.67,0.71,7180000000,7.64643237486688,,
ALB,243.07,11.55825,4.229364,15.57,4.21,5.1,30370000000,30.06930693069307,,
ARE,156.16,43.86517,1.4415346,20.37,1.45,9.91,35930000000,23.953333333333333,,
ALGN,246.04,34.948864,5.201691,20.35,5.07,4.9,17760000000,6.040816326530612,,
ALLE,112.79,20.657509,12.521092,18.23,12.63,3.24,11940000000,9.95,,
LNT,55.08,19.741936,2.2069077,13.36,2.22,3.42,22200000000,14.23076923076923,,
ALL,135.52,58.92174,2.2956264,,2.09,0.73,44040000000,3.152469577666428,,
GOOGL,91.29,19.423405,4.668849,11.78,4.7,4.34,1110000000000,7.566462167689162,,
GOOG,92.16,19.56688,4.7133436,11.78,4.74,4.37,1110000000000,7.566462167689162,,
MO,45.16,9.330578,-19.143705,,,,,,,
AMZN,96.05,-873.1818,7.124314,,,,,,,
AMCR,12.15,15.576923,4.605762,13.0,4.61,1.23,24920000000,8.836879432624114,,
AMD,71.59,20.338068,2.1158564,19.44,2.1,4.58,111780000000,14.095838587641866,,
AEE,89.24,22.034567,2.261416,12.48,2.28,3.13,38250000000,12.792642140468228,,
AAL,17.08,244.0,-1.4062243,-380.44,,0.24,44510000000,23.06217616580311,,
AEP,94.86,18.896414,2.0074065,11.88,2.01,2.57,86390000000,11.278067885117494,,
AXP,153.75,15.35964,4.797491,,4.86,2.32,,,,
AIG,63.78,14.2049,1.2366456,,1.23,0.89,75990000000,3.890937019969278,,
AMT,231.05,36.44322,17.124964,32.37,,,,,,
AWK,157.24,35.255608,3.685284,,,,,,,
AMP,336.28,13.68661,11.015821,,10.89,2.66,32890000000,4.333333333333333,,
ABC,164.16,14.274783,-160.0,11.36,5.58,0.15,35510000000,4.2629051620648255,,
AME,144.63,25.689165,4.656771,20.02,4.71,5.62,35610000000,18.643979057591622,,
AMGN,269.42,15.247313,39.34862,13.87,39.69,5.65,172220000000,8.822745901639344,,
APH,80.69,27.16835,7.30623,17.55,7.28,4.04,51330000000,15.097058823529412,,
ADI,166.91,16.996946,2.331178,16.29,2.36,7.36,91190000000,11.691025641025641,,
ANSS,252.68,32.858257,4.8431177,,,,,,,
AON,316.94,24.101902,-84.02439,,,,,,,
APA,45.14,5.37381,24.347357,,,,,,,
AAPL,135.94,22.032415,42.775333,,,,,,,
AMAT,109.41,16.232939,7.5726748,,,,,,,
APTV,102.55,30.611942,3.390419,,,,,,,
ACGL,64.0,15.763547,2.1435509,,,,,,,
ANET,116.3,26.552511,8.102271,,,,,,,
AJG,195.65,25.245161,4.8112626,,,,,,,
AIZ,128.0,11.962617,1.6516981,,,,,,,
T,19.33,7.2397003,1.125342,,,,,,,
ATO,113.95,18.991667,1.7045369,,,,,,,
ADSK,200.7,30.455235,47.85408,,,,,,,
AZO,2355.88,18.566317,-11.53842,,,,,,,
AVB,170.01,22.311024,2.1177921,,,,,,,
AVY,193.51,20.011375,7.820165,,,,,,,
BKR,31.48,34.217392,2.2300935,,,,,,,
BALL,56.96,19.440271,5.1384754,,,,,,,
BAC,34.52,9.69663,1.1276624,,,,,,,
BBWI,45.88,14.658147,-4.009438,,,,,,,
BAX,44.74,12.567416,4.0743103,,,,,,,
BDX,256.0,21.440536,2.8694403,,,,,,,
WRB,71.81,16.508045,3.0077486,,,,,,,
BRK-B,314.86,21.624998,0.0010138453,,,,,,,
BBY,84.42,12.790909,6.3521442,,,,,,,
BIO,454.92,31.525988,1.6049448,,,,,,,
TECH,80.85,38.5,7.2452726,,,,,,,
BIIB,289.59,16.935087,3.264126,,,,,,,
BLK,749.73,21.506884,3.0355163,,,,,,,
BK,49.68,10.15951,1.1506126,,,,,,,
BA,211.41,-23.888136,-7.1145887,,,,,,,
BKNG,2334.02,23.946035,24.85962,,,,,,,
BWA,44.25,10.079727,1.5293427,,,,,,,
BXP,71.8,13.91473,1.8284143,,,,,,,
BSX,46.04,26.612717,3.7376199,,,,,,,
BMY,72.31,9.50197,4.700949,,,,,,,
AVGO,579.24,14.176211,10.661905,,,,,,,
BR,145.14,20.973988,8.973661,,,,,,,
BRO,61.18,27.3125,4.0207677,,,,,,,
BF-B,68.0,36.756756,10.7171,,,,,,,
CHRW,92.68,11.761421,6.6623535,,,,,,,
CDNS,172.97,40.891254,17.521273,,,,,,,
CZR,48.28,-14.199999,2.7046103,,,,,,,
CPT,117.74,19.854975,2.5387037,,,,,,,
CPB,54.66,18.22,4.714101,,,,,,,
COF,103.63,5.5298824,0.8602284,,,,,,,
CAH,76.42,14.391713,-11.241542,,,,,,,
KMX,67.44,23.49826,1.9420048,,,,,,,
CCL,10.88,-155.42857,1.9397397,,,,,,,
CARR,45.43,19.414532,5.3115864,,,,,,,
CTLT,47.96,14.987499,1.8367738,,,,,,,
CAT,256.26,18.435972,8.553691,,,,,,,
CBOE,123.62,17.968023,3.9813206,,,,,,,
CBRE,84.7,15.125,3.3109214,,,,,,,
CDW,197.62,20.206545,20.165306,,,,,,,
CE,120.07,7.4485106,2.6290781,,,,,,,
CNC,76.74,13.369338,1.7238746,,,,,,,
CNP,31.08,22.52174,2.127019,,,,,,,
CDAY,67.68,78.69767,5.0654893,,,,,,,
CF,86.0,5.215282,3.8268144,2.91,3.84,1.63,18100000000,7.573221757322176,,
CRL,236.53,21.719925,4.5811625,17.21,4.51,3.16,14990000000,11.186567164179104,,
SCHW,83.49,21.190355,5.856892,,5.79,7.9,,,,
CHTR,388.35,12.227645,6.801107,7.57,6.6,1.35,159400000000,6.850021486892995,,
CVX,180.49,9.425066,2.1994078,,,,,,,
CMG,1551.54,46.439392,18.500008,34.21,18.16,5.11,45210000000,15.589655172413794,,
CB,224.63,14.473582,1.956929,,1.98,2.3,111730000000,9.766608391608392,,
CHD,84.72,28.718643,5.5813956,18.39,5.42,3.81,22050000000,9.756637168141593,,
CI,315.0,13.601036,2.1344502,,2.13,0.56,120570000000,5.205958549222798,,
CINF,106.19,24.467741,1.7688899,,1.46,2.19,15200000000,3.968668407310705,,
CTAS,444.88,35.16838,13.175775,23.13,13.3,5.58,48630000000,13.396694214876034,,
CSCO,48.08,13.543663,4.898625,11.51,4.99,3.89,189900000000,5.888372093023256,,
C,50.31,8.220589,0.54265994,,0.54,1.33,,,,
CFG,40.82,9.695962,0.95781124,,,,,,,
CLX,147.99,35.40431,55.993195,24.2,55.3,2.57,20960000000,8.251968503937007,,
CME,175.99,22.164988,2.2356737,16.12,2.24,12.72,64390000000,13.758547008547009,,
CMS,63.48,22.041666,2.7549691,13.18,2.77,2.22,32360000000,12.211320754716981,,
CTSH,62.96,14.244344,2.706211,8.75,2.75,1.73,31710000000,4.589001447178003,,
CL,78.23,26.340069,105.006714,20.35,104.54,3.69,72330000000,6.968208092485549,,
CMCSA,38.94,10.816667,2.0967045,,,,,,,
CMA,68.2,8.080568,1.9098825,,,,,,,
CAG,40.03,14.936566,2.2015069,18.68,2.19,1.6,28380000000,9.923076923076923,,
COP,120.24,8.461646,3.0527837,,,,,,,
ED,95.49,21.126106,1.6338438,12.06,1.65,2.28,60230000000,7.852672750977836,,
STZ,223.78,21.251663,4.921054,39.35,4.95,4.34,53500000000,11.358811040339702,,
CEG,83.37,36.09091,2.5236871,15.21,2.58,1.23,32009999999,11.639999999636364,,
COO,345.33,27.715088,2.3729618,22.62,2.4,5.25,19870000000,9.15668202764977,,
CPRT,63.1,27.316017,6.1917377,19.19,6.17,8.45,28500000000,17.378048780487806,,
GLW,35.95,17.367151,2.6219823,8.82,2.7,2.14,36360000000,7.073929961089494,,
CTVA,62.7,24.396889,1.8075936,,,,,,,
CSGP,79.62,63.696003,4.8272104,47.93,4.91,15.13,29300000000,18.427672955974842,,
COST,486.77,33.593513,10.062428,21.18,9.97,0.93,211440000000,7.669205658324265,,
CTRA,25.34,5.0883536,1.5783244,,,,,,,
CCI,150.31,38.73969,8.475809,,,,,,,
CSX,32.6,17.248676,5.4063015,11.23,5.29,4.85,84300000000,12.69578313253012,,
CMI,249.14,15.649497,4.1926527,12.13,4.25,1.38,41250000000,7.2368421052631575,,
CVS,89.37,10.355736,1.6626668,15.75,1.67,0.38,169230000000,3.328023598820059,,
DHI,95.36,9.922997,1.69102,4.74,1.69,1.01,36290000000,3.6037735849056602,,
DHR,274.92,25.96034,4.4158893,,,,,,,
DRI,149.01,19.054987,8.988419,15.27,9.02,1.88,22670000000,11.335,,
DVA,79.07,12.63099,13.374492,8.62,13.25,0.78,19920000000,5.457534246575342,,
DAL,38.26,7.3576922,5.3197994,,,,,,,
XRAY,36.82,18.785713,2.1901023,-18.92,2.17,1.95,9570000000,4.055084745762712,,
DVN,63.49,7.3654294,3.8189476,4.52,3.82,2.18,47090000000,6.3549257759784075,,
DXCM,109.51,136.8875,23.181625,,,,,,,
FANG,145.73,5.817565,1.8489431,,,,,,,
DLR,106.85,76.87051,1.8809632,,,,,,,
DFS,105.41,6.827073,2.176903,,,,,,,
DISH,14.5,5.5133076,0.45292684,,,,,,,
DIS,99.91,24.191284,1.9181001,,,,,,,
DG,232.07,21.19361,8.514456,,,,,,,
DLTR,147.73,20.154161,3.9488385,,,,,,,
D,62.52,15.174758,1.9439695,,,,,,,
DPZ,344.19,28.328396,-2.8225713,,,,,,,
DOV,144.31,17.098341,5.0745482,,,,,,,
DOW,57.4,8.94081,2.2297325,,,,,,,
DTE,117.31,19.486712,2.53096,,,,,,,
DUK,104.22,19.701324,1.6586298,,,,,,,
DD,74.33,17.286047,1.4823014,,,,,,,
DXC,29.1,8.338109,1.4505035,,,,,,,
EMN,89.45,10.895249,1.9926931,,,,,,,
ETN,162.41,21.482805,4.0198507,,,,,,,
EBAY,46.77,11.379561,5.2426863,,,,,,,
ECL,153.2,34.27293,6.178416,,,,,,,
EIX,68.7,14.9673195,1.955649,,,,,,,
EW,78.86,32.05691,7.856147,,,,,,,
EA,123.7,17.3007,4.394472,,,,,,,
ELV,480.96,16.567688,3.1934981,,,,,,,
LLY,357.74,46.041183,31.978188,,,,,,,
EMR,91.24,,5.206277,12.32,5.5,2.97,65940000000,8.051282052265114,4.64,
ENPH,251.06,56.545044,55.91537,81.58,54.77,17.49,33290000000,60.04473143104506,,
ETR,106.91,16.757053,1.7984087,11.31,1.86,1.64,49080000000,10.057377049180328,,
EOG,130.06,9.185028,3.2025018,5.73,3.19,2.63,76090000000,5.83960092095165,,
EPAM,357.63,33.580284,7.4585495,,,,,,,
EQT,35.19,9.23622,1.3468825,3.81,1.33,1.06,17460000000,3.7387580299785865,,
EFX,216.08,28.734043,7.0359154,,,,,,,
EQIX,718.0,83.00578,5.956529,,,,,,,
EQR,61.37,32.470898,2.0972593,12.81,2.08,8.81,30710000000,20.20394736842105,,
ESS,220.08,46.138367,2.4986658,17.48,2.48,9.12,20200000000,18.878504672897197,,
ETSY,132.51,-25.24,-27.468904,,,,,,,
RE,346.67,14.24281,1.7675701,,1.25,0.98,12060000000,7.3090909090909095,,
EVRG,62.57,17.526611,1.4946373,11.47,1.5,2.54,26070000000,9.800751879699249,,
ES,83.73,20.421953,1.9034739,,,,,,,
EXC,43.16,19.097345,1.7447548,7.58,1.75,1.15,81330000000,7.989194499017682,,
EXPE,106.55,14.86053,7.351825,9.63,7.3,1.5,18470000000,2.6087570621468927,,
EXPD,108.01,12.095184,4.9357953,7.21,4.98,0.96,15680000000,7.063063063063063,,
EXR,153.1,25.139574,6.30742,18.73,6.26,11.63,27480000000,22.341463414634145,,
XOM,112.93,8.11862,2.4990597,5.32,2.27,1.17,423570000000,4.703720155469184,,
FFIV,147.1,12.869641,3.5664067,16.36,3.58,3.32,8630000000,3.9953703703703702,,
FDS,428.7,28.791136,11.113416,26.84,10.93,8.5,17740000000,18.236207197853595,,
FAST,48.22,25.648937,8.73709,,,,,,,
FRT,110.86,30.289618,3.2841568,16.11,3.23,8.28,13320000000,20.704770491038815,,
FDX,188.13,13.812776,1.9690405,,,,,,,
FITB,34.11,10.151786,1.6013333,,1.62,3.05,,,,
FRC,131.4,20.277777,1.7408353,,1.75,4.11,,,,
FSLR,177.6,-348.23532,3.2484636,13.19,,,,,,
FE,42.99,17.691359,2.2813628,11.48,2.27,2.03,45440000000,6.123989218328841,,
FIS,71.41,10.7545185,0.9420969,,,,,,,
FISV,104.01,16.026196,2.1813264,13.74,2.15,3.86,85610000000,10.569135802469136,,
FLT,194.7,12.18398,6.4455256,11.92,6.45,4.58,20260000000,8.92511013215859,,
FMC,128.63,17.405954,5.0821815,16.6,5.14,2.95,19570000000,9.018433179723502,,
F,12.67,6.366834,1.2092003,6.89,1.21,0.34,140730000000,8.523924894003635,,
FTNT,50.1,43.565216,-61.54791,40.92,,9.73,37440000000,14.625,,
FTV,67.33,21.58013,2.5366387,19.98,2.54,4.31,26710000000,8.87375415282392,,
FOXA,31.77,9.103152,1.501134,8.48,1.52,1.29,19810000000,4.076131687242798,,
FOX,29.88,14.57561,1.4118314,8.48,1.43,1.21,19810000000,4.076131687242798,,
BEN,29.78,12.056681,1.2965301,8.9,1.31,1.78,19620000000,5.573863636363637,,
FCX,44.15,18.867523,4.218825,6.77,4.31,2.84,66500000000,6.151711378353377,,
GRMN,97.78,19.674046,3.1967828,14.09,3.2,3.84,17460000000,6.041522491349481,,
IT,333.91,32.897537,-407.20734,,,,,,,
GEN,22.59,12.835227,8.793304,22.06,8.58,4.63,23600000000,9.874476987447698,,
GNRC,114.5,13.391812,3.1284153,11.11,3.11,1.6,8650000000,6.360294117647059,,
GD,241.14,19.830593,3.74348,14.74,3.74,1.73,76600000000,11.950078003120124,,
GE,80.49,31.814228,2.7947917,111.15,2.78,1.17,99150000000,5.385659967409016,,
GIS,81.86,19.772947,4.773456,,,,,,,
GM,36.61,5.091794,0.7852853,5.67,0.79,0.36,134169999999,7.420907079590708,,
GPC,168.54,20.654411,6.483305,13.77,6.53,1.13,27350000000,4.125188536953243,,
GILD,85.41,12.012658,5.080602,,,,,,,
GPN,111.46,11.959228,1.329548,,,,,,,
GL,120.56,14.920792,2.6810176,,,,,,,
GS,349.92,10.707467,1.1441016,,,,,,,
HAL,42.53,20.25238,5.067318,,,,,,,
HIG,75.96,10.594142,1.923038,,,,,,,
HAS,65.42,14.008565,3.0360124,,,,,,,
HCA,258.32,15.186361,-21.762426,,,,,,,
PEAK,27.02,26.752476,2.2458649,,,,,,,
HSIC,80.86,16.881002,3.0288048,,,,,,,
HSY,226.16,27.347036,15.043235,,,,,,,
HES,151.65,20.438004,6.1528788,,,,,,,
HPE,16.25,8.044555,1.0479815,,,,,,,
HLT,136.19,29.997799,-40.508625,,,,,,,
HOLX,79.46,22.702856,4.027165,,,,,,,
HON,212.24,24.14562,8.058625,,,,,,,
HRL,46.35,24.52381,3.3599129,,,,,,,
HST,17.41,19.78409,1.8270541,,,,,,,
HWM,40.61,29.007143,5.2244954,,,,,,,
HPQ,27.59,,-9.264607,,,,,,3.66,
HUM,490.46,19.571428,3.820139,,,,,,,
HBAN,14.5,10.069444,1.3975904,,,,,,,
HII,221.55,15.071429,2.9002109,10.28,2.92,0.85,11990000000,8.751824817518248,,
IBM,145.19,15.919956,6.5386176,,,,,,,
IEX,236.7,29.294554,6.3783345,20.86,6.43,5.9,18640000000,15.03225806451613,,
IDXX,480.19,60.174187,83.72973,41.78,83.35,12.22,41080000000,21.735449735449734,,
ITW,232.31,24.740149,23.685768,19.04,23.78,4.66,78500000000,13.149078726968174,,
ILMN,206.44,88.22223,4.8151517,-9.02,4.7,6.72,33159999999,10.266253869659442,,
INCY,81.26,29.44203,4.276842,18.63,3.82,4.71,12940000000,9.656716417910447,,
IR,56.8,25.022026,2.6282911,,,,,,,
INTC,29.6,15.179487,1.222989,5.22,1.24,1.78,141230000000,3.2236932207258615,,
ICE,107.41,20.151972,2.6829696,15.74,2.69,6.31,77320000000,10.813986013986014,,
IFF,116.58,20.892473,1.7600435,-4500,1.76,2.35,40520000000,9.858880778588809,,
IP,37.54,9.931217,1.406941,6.95,1.43,0.68,18730000000,3.386980108499096,,
INTU,390.2,29.16293,6.8323092,34.95,6.88,8.44,115340000000,11.026768642447419,,
